Switzerland,285.77,210.00,73.77,66.48,124.51,8.06,24.86,24.34
Denmark,254.74,164.26,74.97,82.44,88.31,5.18,25.61,31.15
Germany,244.31,160.12,69.36,76.37,65.96,7.07,28.92,29.22
Finland,242.66,149.42,73.43,75.19,76.89,6.78,36.14,17.44
Sweden,237.19,156.16,57.05,75.17,73.86,8.40,28.25,18.63
Norway,222.96,139.78,69.56,74.64,109.30,7.26,25.03,22.41
Netherlands,220.81,150.57,66.66,68.76,74.43,5.43,37.45,34.67
Austria,214.62,135.34,73.72,76.49,68.14,9.36,28.90,32.45
United Kingdom,193.42,133.64,57.08,73.68,86.68,8.25,34.44,33.81
Ireland,188.99,137.60,51.36,49.75,79.71,8.13,31.82,28.88
France,183.46,132.55,52.40,80.99,75.85,9.11,30.51,45.24
Spain,178.77,114.82,67.61,74.21,56.55,8.52,28.72,46.15
Slovenia,168.22,94.62,72.99,53.34,55.60,10.26,22.60,29.87
Belgium,161.20,115.19,57.38,75.53,76.71,6.46,30.85,56.11
Czech Republic,161.12,98.81,67.75,67.73,42.69,9.87,32.87,42.66
Portugal,159.57,87.27,63.71,66.61,50.55,7.91,30.31,32.69
Poland,141.79,90.97,67.69,58.44,39.62,9.91,33.97,49.43
Italy,139.50,112.63,53.19,66.27,72.38,10.59,36.15,57.43
Croatia,138.83,71.44,70.96,59.21,49.82,11.56,32.18,31.26
Slovakia,136.72,77.09,67.23,56.76,45.13,8.78,26.06,44.54
Greece,130.32,83.15,60.56,55.96,58.92,8.26,30.60,47.62
Lithuania,121.57,64.38,57.46,64.90,46.09,12.79,31.45,32.84
Hungary,113.65,66.35,56.70,50.02,41.75,7.98,30.42,45.70
Romania,107.45,61.17,70.01,48.51,36.86,10.69,33.28,50.10
Bosnia and Herzegovina,102.25,64.94,55.89,52.54,36.24,11.12,22.44,55.17
Bulgaria,93.68,58.73,57.97,55.32,36.13,8.55,31.81,60.95
Serbia,80.54,55.93,54.76,54.32,35.42,15.56,25.75,57.53
Russian Federation,59.76,62.05,50.66,53.74,44.27,14.76,46.82,70.37
Ukraine,12.39,32.72,50.40,46.22,30.75,24.58,41.23,70.31
