Denmark,201.53,135.24,76.46,78.21,84.38,6.33,28.03,26.84,66.05
Switzerland,196.44,153.90,75.60,69.93,125.67,9.27,27.37,21.73,63.37
Germany,189.87,136.14,67.30,76.02,66.79,7.23,31.21,27.68,52.01
Austria,187.00,103.54,78.33,78.80,71.79,10.37,28.98,25.43,62.13
Netherlands,186.46,120.12,69.10,69.19,73.03,6.47,33.80,29.08,67.11
Spain,184.69,94.80,67.88,76.55,57.01,8.70,30.80,40.37,89.25
Finland,183.98,123.42,73.50,74.80,74.39,7.99,33.77,14.57,34.80
Portugal,180.66,68.38,65.45,69.76,49.82,8.87,30.13,29.87,92.99
Sweden,177.93,117.26,54.86,74.71,77.63,11.79,31.00,16.59,55.18
United Kingdom,177.73,109.78,57.63,74.30,72.73,9.54,34.35,34.24,78.72
Norway,176.23,115.01,60.63,73.95,104.26,7.67,28.86,19.28,52.28
France,172.30,105.38,56.61,80.60,76.89,11.38,33.58,42.04,82.34
Estonia,171.71,72.33,74.07,71.31,50.52,11.00,22.33,19.19,44.56
Ireland,170.83,115.49,53.62,53.40,78.69,7.70,35.58,27.47,72.00
Czech Republic,167.77,82.75,68.67,74.64,41.60,10.61,31.22,42.17,66.27
Croatia,167.51,63.93,71.28,61.81,49.39,11.72,29.42,30.69,76.69
Belgium,162.57,99.28,55.13,78.23,76.21,7.13,37.30,50.46,77.32
Italy,160.21,102.59,55.03,66.56,69.65,10.61,36.94,52.96,86.70
Greece,156.80,67.32,60.60,55.01,55.64,7.90,29.62,49.10,88.28
Slovakia,154.13,67.63,68.77,61.15,45.75,9.55,32.17,44.28,65.09
Poland,150.13,75.34,67.38,60.46,38.39,10.91,34.74,50.79,63.87
Romania,144.93,57.12,69.47,53.15,35.73,11.04,32.08,48.72,65.60
Bosnia and Herzegovina,142.52,56.20,58.57,60.93,35.13,11.23,23.55,57.27,69.18
Hungary,140.01,50.74,59.24,52.46,42.27,10.77,31.09,45.46,68.38
Bulgaria,139.74,54.29,58.05,53.42,37.00,9.15,27.54,61.69,78.17
Serbia,135.95,44.83,60.05,55.81,34.55,17.58,27.87,55.88,82.68
Lithuania,133.37,57.75,58.42,67.62,46.94,12.34,29.17,33.16,24.85
Macedonia,114.94,42.80,61.50,62.40,32.04,14.91,35.35,85.00,75.54
Russian Federation,86.53,52.60,52.64,55.42,35.63,13.30,48.41,64.45,9.20
Ukraine,84.07,27.50,50.57,48.06,26.95,25.78,39.55,68.58,50.45
