Title,Rating,Genre,Actors,Runtime
The Filthy Frank Show,10.0,"Short, Comedy, Fantasy",George MillerZeeqArtemis HoldenberryBloody Hairy,12
Game of Thrones,9.5,"Adventure, Drama, Fantasy",Emilia ClarkePeter DinklageKit HaringtonLena Headey,56
Breaking Bad,9.5,"Crime, Drama, Thriller",Bryan CranstonAaron PaulAnna GunnBetsy Brandt,49
The Wire,9.4,"Crime, Drama, Thriller",Dominic WestLance ReddickSonja SohnWendell Pierce,59
TVF Pitchers,9.4,"Comedy, Drama",Naveen KasturiaArunabh KumarJitendra KumarAditya Roy Kapoor,40
Rick and Morty,9.3,"Animation, Adventure, Comedy",Justin RoilandChris ParnellSpencer GrammerSarah Chalke,22
Westworld,9.2,"Drama, Sci-Fi, Western",Evan Rachel WoodThandie NewtonJeffrey WrightJames Marsden,60
Sherlock,9.2,"Crime, Drama, Mystery",Benedict CumberbatchMartin FreemanUna StubbsRupert Graves,88
The Sopranos,9.2,"Crime, Drama",James GandolfiniLorraine BraccoEdie FalcoMichael Imperioli,55
Avatar: The Last Airbender,9.2,"Animation, Action, Adventure",Dee Bradley BakerZach TylerMae WhitmanJack De Sena,23
Leyla ile Mecnun,9.2,"Adventure, Comedy, Drama",Ali AtayCengiz BozkurtSerkan KeskinOsman Sonant,80
Sarabhai vs Sarabhai,9.2,Comedy,Satish ShahRatna PathakSumeet RaghvanRupali Ganguly,30
True Detective,9.1,"Crime, Drama, Mystery",Vince VaughnColin FarrellRachel McAdamsTaylor Kitsch,55
Firefly,9.1,"Adventure, Drama, Sci-Fi",Nathan FillionGina TorresAlan TudykMorena Baccarin,44
One Punch Man: Wanpanman,9.1,"Animation, Action, Comedy",Max MittelmanMakoto FurukawaKaito IshikawaZach Aguilar,24
Last Week Tonight with John Oliver,9.1,"Comedy, News, Talk-Show",John OliverDavid KayeNoel MacNealPaul McGinnis,30
Hagane no renkinjutsushi,9.1,"Animation, Action, Adventure",Kent WilliamsIemasa KayumiVic MignognaRomi Pak,24
TVF Tripling,9.1,Drama,Sumeet VyasMaanvi GagrooAmol ParasharKunaal Roy Kapur,30
Stranger Things,9.0,"Drama, Horror, Mystery",Dacre MontgomeryWinona RyderDavid HarbourFinn Wolfhard,55
Friends,9.0,"Comedy, Romance",Jennifer AnistonCourteney CoxLisa KudrowMatt LeBlanc,22
House of Cards,9.0,Drama,Kevin SpaceyMichel GillRobin WrightKate Mara,51
Fargo,9.0,"Crime, Drama, Thriller",Billy Bob ThorntonMartin FreemanAllison TolmanColin Hanks,53
Arrested Development,9.0,Comedy,Jason BatemanMichael CeraPortia de RossiWill Arnett,22
The Twilight Zone,9.0,"Fantasy, Horror, Mystery",Rod SerlingRobert McCordJay OverholtsVaughn Taylor,51
